scene_name,total_area,robots_distance,max_transition_required,is_linear,prm_length,prm_quality,chunk_size
1.json,128,33.970562748477136,4,0,6.1,39.89614674266038,7
2.json,128,32.616937999067744,8,2,2.0,32.61693799906775,3
3.json,128,35.09349774020892,4,1,4.0,37.77451974184997,8
4.json,131,19.666219384463094,4,0,6.4,45.110261593786035,8
5.json,168,30.591439320442433,4,1,5.3,36.60131966493414,9
6.json,192,23.265265666794843,3,0,5.7,39.085888174559955,5
7.json,113,29.647847675019435,4,0,6.7,39.767361086898774,9
8.json,113,38.2380787878091,4,0,8.2,46.57520697861632,4
9.json,113,29.035668847618197,6,0,5.7,35.685866685350675,3
10.json,120,31.81118379775953,5.2,2,2.0,31.811183797759533,3
11.json,122,37.56693246298437,3,1,8.0,47.98473895990496,5
12.json,120,28.940582561258765,3,0,7.2,42.959567603092296,5
13.json,128,28.940582561258765,3,0,6.6,43.54538949574525,6
14.json,123,28.940582561258765,3,0,7.2,46.047820857207924,7
15.json,105,22.104364190238385,4,1,5.6,36.09054714451589,6
16.json,105,29.068965225991107,4,0,7.7,51.3284420707992,7
17.json,111.1415926535898,26.966793087589416,5.1,0,5.3,37.156747856271316,7
18.json,111.1415926535898,29.159934488911937,5.1,0,6.7,41.516953601449096,6
19.json,111.1415926535898,27.880656852401337,5.1,0,5.5,33.35407925728167,5
20.json,101.2831853071796,36.82386522543601,3,0,7.5,49.31753996393119,4
21.json,101.2831853071796,37.54406208912857,3,0,8.0,51.37057364679309,6
22.json,101.2831853071796,29.666310319990977,3,2,2.0,29.666310319990977,3
23.json,102.2831853071796,29.666310319990977,3,2,2.0,29.666310319990977,3
24.json,104.2831853071796,29.666310319990977,3,1,4.7,32.75051040302136,4
25.json,125,32.1557350384785,3,1,8.2,51.8094126384943,4
26.json,125,33.72302555483553,3,1,7.7,53.151910306251956,3
27.json,125,33.97062660905384,3,0,9.4,63.980099222244895,3
28.json,125,32.55787476027264,3,1,7.8,49.79282563837867,3
29.json,125,28.282476612317247,3,1,5.1,34.703934278933524,6
30.json,107,27.459160483598655,3.3,0,5.2,33.78001453470185,8
31.json,144,30.442336559873453,5,1,5.3,35.8224665236455,5
32.json,144,30.052903773781217,5,0,8.4,46.5805508440042,3
33.json,144,28.246209340460474,5,0,9.1,54.01688944464455,9
34.json,144,24.317821063276355,5,1,7.2,45.844236424111166,7
35.json,144,28.74002616513231,5,0,9.6,61.16313718042964,4
36.json,144,30.12920936411825,5,0,9.0,60.35135084277776,5
37.json,144,23.53736552056924,5,0,11.5,73.23003961555622,4
38.json,122.1415926535898,14.21110255092798,3,0,8.9,50.70415556265734,4
