scene_name,rrt_star,arg=3,arg=4,arg=5,arg=6,arg=7,arg=8,arg=9
1.json,1.561267455,4.991420627,3.033389711,2.911014891,2.55330677,2.556429505,2.564009643,2.612554407
2.json,0.971107562,2.223570132,2.229258108,1.992644596,1.765381074,1.784249663,1.772915292,1.782639337
3.json,1.145201524,2.048334694,2.039411974,2.052851367,2.054569292,2.072974873,2.045705748,2.066903329
4.json,2.915086667,2.2801121,2.244461179,2.116487551,2.129869008,2.139858699,2.128159761,2.132206798
5.json,1.461579005,2.104995775,2.048541045,2.058222818,2.054578018,2.084671617,2.055600786,2.074703884
6.json,3.616638263,2.447834349,2.254904461,2.057737899,2.048653007,2.063940215,2.040708709,2.053332233
7.json,6.600130674,2.346219349,2.245865774,2.203043747,2.206596231,2.199091268,2.191589737,2.209852529
8.json,6.684232473,2.309838939,2.265938139,2.215215755,2.246305156,2.222711134,2.229338622,2.22081275
9.json,2.004792849,2.264656115,2.21446836,2.194476056,2.206618261,2.215602779,2.206257319,2.201931238
10.json,1.011983871,1.87522521,1.858139253,1.896753335,1.878831506,2266.257964,1.90337534,1.870194173
11.json,9.922231594,2.242025137,2.288604999,2.464311719,2.255825973,2.237900615,2.292695045,2.260085177
12.json,6.85313367,2.274134088,2.261922145,2.168910313,2.181500125,2.16122663,2.163624907,2.165565324
13.json,7.110148827,2.401096892,2.309936261,2.295567656,2.229941702,2.224600005,2.275113368,2.225456977
14.json,8.449669123,2.705399966,2.413101673,2.237448311,2.250600076,2.250049329,2.25456295,2.255544019
15.json,1.484114011,2.289371061,2.251614881,2.24446857,2.24943471,2.246807313,2.265638733,2.238897395
16.json,3.552193006,2.502702498,2.383497047,2.319349766,2.300575733,2.289413857,2.270986128,2.294311929
17.json,4.641470194,2.267664218,2.161851668,2.157190132,2.181800294,2.166800213,2.173323727,2.168030596
18.json,6.96613725,2.216116166,2.187991881,2.177783108,2.166581416,2.17848475,2.171765971,2.153914046
19.json,1.312128146,2.246169925,2.159816337,2.141595793,2.152669883,2.18041687,2.167755485,2.164927316
20.json,2.911296765,2.273135209,2.19228394,2.117512631,2.128469372,2.131130576,2.11856041,2.128284335
21.json,3.537308772,2.339043307,2.254483271,2.276509047,2.138163352,2.149071527,2.143668985,2.135368013
22.json,1.404767354,1.791265798,1.821392441,1.81301415,1.797691488,1.81600318,1.795402598,1.805062628
23.json,1.643658559,1.85697248,1.838208604,1.875297451,1.83473165,1.852907395,1.844164324,1.843356562
24.json,3.862161001,2.212341285,2.196289468,2.195826316,2.204739714,2.213991499,2.189905858,2.218288732
25.json,3.762273232,2.395416427,2.402843857,2.225614977,2.157340956,2.139317846,2.100705671,2.117165637
26.json,1.962284803,2.335759115,2.310591364,2.162335515,2.075580907,2.087566352,2.097246528,2.103324032
27.json,4.320019325,2.450627589,2.369189358,2.275956655,2.18952148,2.148428893,2.11332972,2.134622741
28.json,2.559288263,2.362358451,2.305435133,2.19699502,2.066825724,2.090111375,2.084925413,2.091551971
29.json,1.489076296,2.15312686,2.106285405,2.075589061,2.078914356,2.080630732,2.119246554,2.12002306
30.json,2.905385653,2.112672424,2.108848047,2.099041796,2.101099634,2.116623759,2.09485209,2.105683231
31.json,1.922281742,2.066752005,2.053493166,2.048199749,2.05560782,2.048338199,2.046419096,2.047474504
32.json,3.984543006,2.300289941,2.161532068,2.071630239,2.080258322,2.089706564,2.075288129,2.091776967
33.json,7.85362693,2.377066135,2.147580719,2.115675282,2.112507844,2.091451383,2.099300694,2.10657084
34.json,3.910065843,2.074020243,2.131119847,2.093556309,2.089899206,2.098660135,2.071940494,2.081483388
35.json,7.612658325,2.33476975,2.37617662,2.171427584,2.174005938,2.086121082,2.097628713,2.110853744
36.json,5.219960292,2.383019018,2.328823876,2.168842173,2.212234807,2.109424782,2.087314367,2.08685019
37.json,6.54113097,2.465471172,2.295620203,2.204166961,2.162045407,2.108777595,2.113344955,2.090266418
38.json,4.093697824,3.249068499,2.68486805,2.639621329,2.528033686,2.505392933,1805.264644,2.29327836
39.json,5.45032678,2.959017444,2.980319643,2.648367453,2.480954385,2.599369979,2.454578876,2.315212464
40.json,3.762014698,3.152474356,2.610434508,3.055228448,2.437959576,2.374632931,2.288404512,2.304261422
41.json,1.973947922,3.252145982,3.065283036,3.068124843,2.952121806,2.903902102,2.960586405,2.972978878
42.json,1.417332649,3.196909857,3.163116455,3.145094681,2.811659193,2.826238704,2.806264353,2.857371449
43.json,1.016644001,2.386194038,2.389626718,2.390047908,2.423177528,2.422013116,2.42030437,2.421627116
44.json,2.573126475,3.294101572,2.891695309,2.25110817,2.391458297,2.269781995,2.286788511,2.226527715
45.json,1.834569772,2.140339637,2.129160881,2.132321572,2.125024128,2.129216123,2.179418206,2.120948815
46.json,2.749987125,2.149035621,2.117614508,2.122676158,2.147144222,2.121314812,2.119369197,2.144530416
47.json,2.025289853,2.135516906,100.5192677,2.134326839,2.098898697,2.108030176,2.118788505,2.116041827
48.json,4.412568615,2.333991838,2.285444903,2.181788421,2.202735472,2.161741281,2.177372599,2.155204749
49.json,4.740369722,2.393979454,2.377244377,2.144277573,2.15422399,2.135314417,2.121091151,2.161824536
50.json,4.252035787,2.41847403,2.395667601,2.274030948,2.149740744,2.14905107,2.156238723,2.169636345
51.json,8.450632668,3.105655408,2.886257911,2.727550888,2.621545863,2.629477787,2.551918101,2.371660948
52.json,33.65302689,3.735862207,3.500123525,3.088784599,3.15610373,2.848349023,2.812970829,2.803289843
53.json,14.80602249,3.981485057,3.360481024,3.234141326,2.941728354,2.754681969,2.804986238,2.788871551
54.json,3.244386594,2.779906487,2.491619515,2.222276616,2.187687087,2.205749941,2.211465907,2.219180799
55.json,4.140111605,2.449084544,2.371759915,2.221376371,2.230372572,2.196311021,2.230561709,2.217096233
56.json,4.562513431,2.472040129,2.451670313,2.292434192,2.313367367,2.215211225,2.231405544,2.228129244
57.json,4.999797821,2.582145023,2.384804559,2.297197437,2.276842737,2.268757653,2.265855932,2.239731216
58.json,13.79090136,3.037473655,2.683998823,2.549565172,2.487745976,2.521414971,2.428025579,2.158237171
59.json,24.34333086,3.036853099,2.576794505,2.497396302,2.484399939,2.4937289,2.49788444,2.313541126
